DepartamentoDelPredio;MunicipioDelPredio;CodigoDANE;NumeroDeSolicitudes;NumeroDePredios;NumeroDeTitulares
Tolima;Dolores;73236;189;144;139
Norte Santander;Bochalema;54099;5;5;4
Cesar;El Paso;20250;95;94;72
Cundinamarca;Tocancipá;25817;1;1;1
Meta;Puerto Rico;50590;746;690;631
Caquetá;Puerto Rico;18592;570;537;504
Tolima;Chaparral;73168;535;424;445
Cesar;La Jagua De Ibirico;20400;551;445;449
Amazonas;Leticia;91001;2;2;2
Antioquia;Caldas;5129;16;11;12
Antioquia;Valdivia;5854;132;116;109
Tolima;Carmen De Apicalá;73148;3;3;3
Norte Santander;Villa Del Rosario;54874;57;56;46
Bolívar;Magangué;13430;29;28;24
Córdoba;Ayapel;23068;129;121;113
Córdoba;Buenavista;23079;25;23;20
Antioquia;San Pedro;5664;5;5;3
Bolívar;María La Baja;13442;484;451;404
Arauca;Puerto Rondón;81591;62;59;54
Boyacá;Chitaraque;15185;1;1;1
Boyacá;El Espino;15248;9;8;5
Boyacá;Guouicán;15332;17;17;11
Valle Del Cauca;Restrepo;76606;19;12;12
Caldas;Aranzazu;17050;7;7;3
Amazonas;La Victoria;91430;6;6;4
Boyacá;Arcabuco;15051;1;1;1
Caldas;Marmato;17442;11;11;9
Bolívar;Soplaviento;13760;3;3;3
Huila;Agrado;41013;9;9;5
Cundinamarca;Gachalá;25293;26;25;19
Antioquia;Belmira;5086;9;9;7
Santander;Sabana De Torres;68655;573;510;417
Cesar;Tamalameque;20787;182;166;132
Valle Del Cauca;Ansermanuevo;76041;14;12;12
Antioquia;Yolombó;5890;130;120;94
Valle Del Cauca;La Unión;76400;21;21;14
Amazonas;Puerto Arica;91536;2;2;0
Caldas;Villamaría;17873;22;21;17
Tolima;San Luis;73678;84;70;73
Casanare;Paz De Ariporo;85250;93;83;86
Nariño;Ancuyá;52036;18;16;16
Santander;Hato;68344;11;11;9
Santander;Encino;68264;4;4;3
Tolima;Casabianca;73152;95;82;61
Cundinamarca;Arbeláez;25053;53;37;26
Cundinamarca;Guachetá;25317;1;1;1
Boyacá;Chivor;15236;19;19;5
Sucre;San Marcos;70708;30;28;23
Santander;Puerto Parra;68573;138;126;115
Huila;Iquira;41357;63;60;58
Guaviare;San José Del Guaviare;95001;891;850;744
Cundinamarca;Uutica;25851;6;6;4
Magdalena;Aracataca;47053;524;487;440
Norte Santander;Tibú;54810;1998;1819;1423
Córdoba;Puerto Libertador;23580;194;180;151
Tolima;Falán;73270;42;42;39
Cundinamarca;Granada;25312;10;10;6
Bolívar;El Carmen De Bolívar;13244;2535;2166;2227
Boyacá;Cubará;15223;13;12;11
Antioquia;Angelópolis;5036;16;16;13
Meta;Granada;50313;113;97;86
Norte Santander;Santiago;54680;11;8;8
Antioquia;Itaguí;5360;27;26;19
Meta;Mapiripán;50325;1529;1448;1215
Norte Santander;Lourdes;54418;4;2;4
Valle Del Cauca;La Cumbre;76377;49;46;34
Antioquia;Vigía Del Fuerte;5873;37;37;29
Santander;Puente Nacional;68572;5;4;5
La Guajira;Albania;44035;20;19;17
Cesar;San Martín;20770;234;214;182
Córdoba;La Apartada;23350;17;17;14
Meta;Castilla La Nueva;50150;13;13;12
Risaralda;La Virginia;66400;5;5;5
Antioquia;Caracolí;5142;4;4;4
Cundinamarca;Villapinzón;25873;6;6;4
Nariño;Santacruz;52699;88;78;69
Antioquia;Jardín;5364;7;5;6
Antioquia;Cisneros;5190;3;3;3
Chocó;Carmen del Darién;27150;111;100;85
Tolima;Planadas;73555;418;367;350
Antioquia;El Bagre;5250;793;747;682
Nariño;Sandoná;52683;12;12;10
Córdoba;Pueblo Nuevo;23570;303;275;232
Nariño;Leiva;52405;121;116;106
Córdoba;Los Córdobas;23419;18;16;17
La Guajira;El Molino;44110;68;58;63
Cundinamarca;Villagómez;25871;9;9;6
Valle Del Cauca;Sevilla;76736;87;80;65
Antioquia;Apartadó;5045;786;725;631
Bolívar;San Pablo;13670;259;232;195
Valle Del Cauca;Argelia;76054;5;5;5
Bolívar;Calamar;13140;125;109;116
Santander;Mogotes;68464;9;8;9
Nariño;Mosquera;52473;50;37;34
Santander;Contratación;68211;4;4;1
Chocó;El Litoral Del San Juan;27250;27;26;23
Antioquia;Buriticá;5113;25;16;20
Antioquia;El Santuario;5697;25;23;21
Antioquia;Barbosa;5079;55;47;38
Tolima;Purificación;73585;51;44;46
Antioquia;La Estrella;5380;9;9;8
Boyacá;San Mateo;15673;8;8;5
Caquetá;Curillo;18205;244;234;223
Nariño;Barbacoas;52079;274;255;225
Cauca;Corinto;19212;97;88;86
Caldas;San José;17665;5;5;5
Boyacá;Otanche;15507;47;37;33
Caldas;Viterbo;17877;7;7;7
Santander;Capitanejo;68147;8;7;7
Huila;Teruel;41801;15;12;14
Sucre;Buenavista;70110;23;22;23
Antioquia;Caicedo;5125;15;13;10
Boyacá;Berbeo;15090;10;7;8
Caquetá;San Vicente Del Caguán;18753;957;838;828
Arauca;Saravena;81736;179;170;132
Bolívar;Cicuco;13188;1;1;1
Tolima;Ataco;73067;1551;1331;1073
Meta;San Carlos De Guaroa;50680;24;23;23
La Guajira;San Juan Del Cesar;44650;69;66;63
Boyacá;La Victoria;15401;3;0;3
Boyacá;Macanal;15425;7;7;4
Bolívar;San Jacinto Del Cauca;13655;61;57;53
Norte Santander;Chinácota;54172;6;5;6
Quindío;Salento;63690;9;9;8
Cundinamarca;Soacha;25754;49;45;44
Tolima;Armero;73055;68;64;53
Antioquia;Concordia;5209;29;29;24
Sucre;Palmito;70523;11;10;11
Atlántico;Baranoa;8078;6;6;4
Huila;Baraya;41078;238;225;191
Atlántico;Santo Tomás;8685;2;2;2
Caldas;Filadelfia;17272;18;18;16
Cauca;Timbío;19807;180;145;155
Cesar;Gamarra;20295;42;39;35
Antioquia;Andes;5034;32;30;29
Boyacá;Guateque;15322;8;8;7
La Guajira;Urumita;44855;26;24;22
Cundinamarca;Nimaima;25489;8;8;6
Tolima;Fresno;73283;74;69;60
Amazonas;Puerto Santander;91669;14;11;12
Cundinamarca;Vergara;25862;22;18;18
Antioquia;Bello;5088;188;156;134
Cundinamarca;San Bernardo;25649;16;16;10
Quindío;La Tebaida;63401;10;10;8
Boyacá;Covarachía;15218;1;1;1
Magdalena;Ciénaga;47189;924;772;782
Nariño;Santa Bárbara;52696;416;363;325
Caldas;Manizales;17001;51;50;39
Huila;Santa María;41676;32;30;31
Tolima;Rioblanco;73616;846;728;631
Cesar;González;20310;5;5;5
Chocó;San José Del Palmar;27660;189;179;138
Cundinamarca;San Cayetano;25653;9;3;9
Cundinamarca;Une;25845;2;2;1
La Guajira;Barrancas;44078;105;100;100
Magdalena;Salamina;47675;137;125;123
Bolívar;Achí;13006;82;78;71
Cundinamarca;Yacopí;25885;310;278;229
Meta;Cubarral;50223;59;58;50
Magdalena;Sitionuevo;47745;563;434;393
La Guajira;Dibulla;44090;278;264;240
Magdalena;Pivijay;47551;795;536;618
Boyacá;Pauna;15531;17;11;13
Magdalena;Pijiño Del Carmen;47545;25;21;17
Huila;Algeciras;41020;215;194;181
Cundinamarca;Carmen De Carupa;25154;1;1;0
Cundinamarca;Paime;25518;14;14;9
Antioquia;Rionegro;5615;17;16;13
Nariño;Francisco Pizarro;52520;46;38;31
Cundinamarca;Zipaquirá;25899;9;6;6
Atlántico;Galapa;8296;6;6;6
Putumayo;Puerto Asís;86568;763;724;671
Valle Del Cauca;Alcalá;76020;9;9;9
Antioquia;Toledo;5819;30;30;22
Cesar;Chiriguaná;20178;234;188;200
Cundinamarca;Mosquera;25473;1;1;1
Santander;Jesús María;68368;6;6;4
Atlántico;Soledad;8758;16;15;11
Sucre;Coloso;70204;255;190;205
Bolívar;San Estanislao;13647;55;52;51
Cundinamarca;Guasca;25322;5;4;3
Huila;Colombia;41206;123;118;110
Valle Del Cauca;Candelaria;76130;10;9;8
Nariño;Yacuanquer;52885;2;2;2
Santander;Carcasí;68152;3;3;3
Cauca;Miranda;19455;54;54;51
Nariño;San Lorenzo;52687;37;33;33
Bolívar;San Cristóbal;13620;12;12;12
Nariño;Puerres;52573;12;9;11
Meta;El Calvario;50245;34;34;23
Tolima;Palocabildo;73520;52;50;45
Huila;San Agustín;41668;58;54;52
Cauca;Toribio;19821;53;52;46
Boyacá;Sogamoso;15759;4;4;3
Cundinamarca;Cogua;25200;1;1;1
Santander;Girón;68307;80;74;64
Norte Santander;Toledo;54820;33;32;30
Norte Santander;Bucarasica;54109;32;31;27
Caquetá;Cartagena Del Chairá;18150;883;854;824
Huila;Gigante;41306;96;87;82
Norte Santander;Arboledas;54051;72;67;47
Tolima;Natagaima;73483;303;238;226
Casanare;Pore;85263;99;90;91
Cundinamarca;Paratebueno;25530;49;44;33
Antioquia;Remedios;5604;265;259;192
Antioquia;San Andrés;5647;61;45;47
Caquetá;San José Del Fragua;18610;200;186;185
Antioquia;Copacabana;5212;20;17;20
Córdoba;Cereté;23162;11;10;10
Nariño;Cumbal;52227;50;48;34
Boyacá;Villa De Leyva;15407;3;3;2
Antioquia;Olaya;5501;5;5;3
Antioquia;Cocorná;5197;320;278;222
Córdoba;Montelíbano;23466;291;245;229
Nariño;Pasto;52001;487;434;346
Boyacá;Turmequé;15835;1;1;1
Magdalena;Zona Bananera;47980;392;200;351
Bolívar;Santa Rosa Del Sur;13688;127;123;110
Huila;Campoalegre;41132;47;39;41
Sucre;Sincé;70742;26;25;21
Amazonas;Puerto Alegría;91530;2;2;2
Caquetá;Milán;18460;195;186;171
Antioquia;Caramanta;5145;21;14;20
Caquetá;El Doncello;18247;148;142;127
Nariño;Tumaco;52835;1631;1449;1251
Santander;Lebríja;68406;159;145;126
Santander;Betulia;68092;107;102;92
Magdalena;Plato;47555;268;234;218
Caquetá;Albania;18029;41;40;38
Huila;Guadalupe;41319;31;30;27
Santander;Barbosa;68077;9;9;7
Huila;Pital;41548;3;3;3
Caldas;Palestina;17524;5;4;4
Putumayo;Santiago;86760;113;113;108
Antioquia;San Pedro de Urabá;5665;443;403;276
Chocó;Unión Panamericana;27810;10;10;5
Nariño;La Llanada;52385;89;87;84
Santander;Cerrito;68162;4;4;3
Putumayo;Puerto Caicedo;86569;594;568;526
Antioquia;Nechí;5495;405;391;325
Antioquia;Argelia;5055;419;331;243
Guaviare;Miraflores;95200;821;792;651
Valle Del Cauca;Versalles;76863;16;15;14
Cundinamarca;Fusagasugá;25290;38;35;28
Santander;Páramo;68533;1;1;1
Tolima;Guamo;73319;16;16;13
Boyacá;Pisba;15550;10;10;9
Córdoba;Ciénaga De Oro;23189;9;8;8
Cauca;Piamonte;19533;406;392;371
Meta;Lejanías;50400;172;156;146
Córdoba;Momil;23464;1;1;1
Nariño;Pupiales;52585;1;1;1
Tolima;Ibagué;73001;350;314;283
Putumayo;San Miguel;86757;695;660;600
Caquetá;Solano;18756;225;212;211
Antioquia;Don Matías;5237;7;7;5
Cundinamarca;Apulo;25599;10;10;9
Bolívar;El Peñón;13268;6;6;6
Cundinamarca;Tenjo;25799;2;2;1
Cundinamarca;Pacho;25513;119;119;62
Norte Santander;Labateca;54377;8;8;6
Nariño;Guachucal;52317;3;3;2
Nariño;El Rosario;52256;433;421;353
Amazonas;La Pedrera;91407;2;2;1
Norte Santander;La Playa;54398;30;29;27
Guainía;Mapiripana;94663;13;13;7
Nariño;Potosí;52560;13;12;12
Valle Del Cauca;San Pedro;76670;77;59;64
Cesar;Agustín Codazzi;20013;688;536;520
Caldas;Salamina;17653;107;89;61
Casanare;Támara;85400;39;36;33
Risaralda;La Celia;66383;31;27;25
Norte Santander;La Esperanza;54385;159;139;109
Meta;Mesetas;50330;552;512;451
Antioquia;Caucasia;5154;396;381;336
Boyacá;Jenesano;15367;1;1;0
Guainía;Puerto Colombia;94884;1;1;1
Cundinamarca;La Palma;25394;988;842;562
Cauca;Guachené;19300;2;2;2
Meta;El Castillo;50251;542;440;421
Cundinamarca;El Peñón;25258;73;73;58
Cundinamarca;Junín;25372;10;9;6
Sucre;Guaranda;70265;36;34;28
Meta;Guamal;50318;29;23;26
Santander;Guaca;68318;14;14;12
Chocó;Nuquí;27495;16;15;13
Tolima;Líbano;73411;482;425;356
Nariño;Nariño;52480;1;1;1
Santander;Gambita;68298;7;7;6
Cundinamarca;Caparrapí;25148;78;77;67
Norte Santander;Pamplonita;54520;3;3;1
Valle Del Cauca;Calima;76126;118;99;104
Cesar;Chimichagua;20175;191;177;153
Norte Santander;Gramalote;54313;3;3;3
Tolima;Flandes;73275;5;5;3
Antioquia;Pueblorrico;5576;16;16;14
Caldas;Risaralda;17616;14;12;14
Tolima;San Antonio;73675;286;220;234
Santander;California;68132;5;3;5
Chocó;Medio Atrato;27425;40;31;30
Santander;Villanueva;68872;2;2;2
Bolívar;Arroyohondo;13062;13;12;11
Risaralda;Marsella;66440;4;4;4
Nariño;Consaca;52207;24;23;15
Huila;Tarqui;41791;9;9;9
Santander;Piedecuesta;68547;33;30;31
Quindío;Génova;63302;36;35;29
Chocó;Lloró;27413;21;21;18
Cundinamarca;San Antonio Del Tequendama;25645;2;2;2
Cauca;Rosas;19622;121;110;114
Cauca;Sotará;19760;40;39;37
Putumayo;Mocoa;86001;174;160;152
Magdalena;Santa Ana;47707;129;115;94
Cesar;Aguachica;20011;265;254;193
Valle Del Cauca;Roldanillo;76622;43;41;25
Nariño;San Pedro De Cartago;52694;6;6;4
Cundinamarca;Tabio;25785;1;0;1
Boyacá;Floresta;15276;1;1;1
Atlántico;Barranquilla;8001;178;170;138
Valle Del Cauca;Bolívar;76100;326;313;202
Antioquia;Sonsón;5756;569;413;341
Boyacá;Maripí;15442;11;7;6
Santander;Coromoro;68217;6;6;5
Antioquia;San Carlos;5649;1922;1816;1345
Sucre;San Onofre;70713;367;329;280
Boyacá;Puerto Boyacá;15572;82;81;66
Antioquia;Santafé De Antioquia;5042;28;25;14
Cundinamarca;San Francisco;25658;7;7;1
Bolívar;Arenal;13042;32;27;29
Santander;San Vicente De Chucurí;68689;337;320;290
Quindío;Córdoba;63212;18;16;17
Cundinamarca;Pasca;25535;26;26;20
Boyacá;Chita;15183;15;15;14
Santander;San Joaquín;68682;4;4;3
Cesar;Becerril;20045;523;406;434
Santander;Macaravita;68425;30;30;24
Boyacá;Almeida;15022;3;3;2
Cundinamarca;Supatá;25777;1;1;1
Valle Del Cauca;Riofrío;76616;150;140;105
Boyacá;Muzo;15480;23;19;19
Magdalena;Algarrobo;47030;35;34;27
Putumayo;Puerto Guzmán;86571;1341;1272;1197
Huila;Yaguará;41885;1;1;1
Chocó;Alto Baudó;27025;28;27;26
Santander;Confines;68209;1;1;1
Santander;San Gil;68679;3;3;3
Magdalena;Santa Marta;47001;594;531;499
Santander;Chipatá;68179;2;2;2
Cauca;Totoró;19824;85;82;83
Sucre;Sucre;70771;63;63;53
Boyacá;Santa María;15690;3;3;2
Antioquia;Valparaíso;5856;2;2;2
Cesar;San Diego;20750;314;233;269
Boyacá;Santa Sofía;15696;1;1;1
Casanare;Chameza;85015;20;20;18
Bolívar;Morales;13473;101;97;96
Antioquia;Betania;5091;66;64;45
Magdalena;Fundación;47288;413;330;356
Risaralda;Pueblo Rico;66572;332;298;250
Sucre;Sincelejo;70001;66;51;61
Boyacá;Tununguá;15832;1;1;1
Boyacá;Boavita;15097;1;1;1
Quindío;Calarcá;63130;32;29;30
Cundinamarca;Chipaque;25178;10;10;4
Valle Del Cauca;Pradera;76563;132;117;113
Antioquia;Girardota;5308;46;39;26
Sucre;Sampués;70670;8;8;6
Boyacá;Pajarito;15518;41;22;30
Nariño;San Bernardo;52685;8;7;6
Antioquia;Heliconia;5347;81;61;58
Cesar;La Paz;20621;251;210;202
Cundinamarca;La Vega;25402;5;4;3
Valle Del Cauca;Yotoco;76890;18;18;14
Caquetá;Solita;18785;121;119;111
Huila;Paicol;41518;3;3;3
Santander;Los Santos;68418;5;2;4
Meta;Barranca De Upía;50110;34;30;25
Boyacá;Campohermoso;15135;5;5;4
Cundinamarca;Facatativá;25269;2;2;1
Tolima;Rovira;73624;281;234;217
Huila;Nátaga;41483;47;32;44
Casanare;Nunchía;85225;77;68;62
Valle Del Cauca;Buenaventura;76109;892;834;671
Caldas;Pensilvania;17541;445;417;348
Santander;El Playón;68255;120;113;95
Cundinamarca;Tena;25797;4;4;4
Tolima;Ortega;73504;303;272;239
Antioquia;Briceño;5107;91;86;50
Valle Del Cauca;Jamundí;76364;290;267;231
Boyacá;Ramiriquí;15599;5;5;1
Córdoba;Tierralta;23807;924;853;767
Sucre;La Unión;70400;3;3;3
Casanare;Monterrey;85162;109;76;71
Casanare;La Salina;85136;7;7;6
Cauca;Villa Rica;19845;5;5;5
Antioquia;Santo Domingo;5690;74;73;60
Caldas;Marulanda;17446;36;33;24
Santander;Santa Bárbara;68705;3;3;2
Caldas;Norcasia;17495;53;45;39
Norte Santander;Cúcuta;54001;697;653;503
Tolima;Prado;73563;124;111;94
Boyacá;Umbita;15842;3;3;0
Arauca;Tame;81794;450;417;353
Arauca;Cravo Norte;81220;74;71;55
Santander;Suaita;68770;14;14;12
Cundinamarca;Funza;25286;5;5;5
Nariño;La Unión;52399;354;352;298
Caldas;Samaná;17662;1154;1003;918
Chocó;El Carmen De Atrato;27245;178;158;160
Cundinamarca;Cachipay;25123;2;2;2
Magdalena;Tenerife;47798;175;162;160
Meta;San Juanito;50686;19;17;13
Cundinamarca;Cota;25214;4;4;4
Cundinamarca;Fomeque;25279;10;10;8
Córdoba;San Pelayo;23686;4;4;4
Antioquia;Támesis;5789;78;74;46
Córdoba;Montería;23001;1270;1178;1018
Sucre;Caimito;70124;5;5;5
Cundinamarca;Pulí;25580;45;44;35
Nariño;La Florida;52381;24;22;23
Caquetá;Belén De Los Andaquies;18094;156;147;144
Cundinamarca;Guatavita;25326;1;1;0
Huila;Tesalia;41797;6;6;5
Antioquia;Sabanalarga;5628;33;33;18
Meta;Vistahermosa;50711;955;892;775
Córdoba;Valencia;23855;1032;929;873
Huila;La Argentina;41378;19;19;17
La Guajira;Maicao;44430;69;64;54
Tolima;Ambalema;73030;75;53;49
Caldas;Belalcázar;17088;12;11;9
Valle Del Cauca;El Dovio;76250;152;142;85
Cundinamarca;La Calera;25377;5;5;3
Guaviare;El Retorno;95025;269;256;230
Valle Del Cauca;Trujillo;76828;371;343;256
Antioquia;San Jerónimo;5656;22;21;18
Antioquia;Frontino;5284;193;159;136
Chocó;Condoto;27205;25;21;23
Cundinamarca;Gutiérrez;25339;12;12;7
Arauca;Arauquita;81065;348;313;284
Valle Del Cauca;Caicedonia;76122;9;9;7
Quindío;Circasia;63190;5;5;4
Santander;Enciso;68266;4;0;4
Santander;Sucre;68773;24;22;19
Santander;Landázuri;68385;83;77;67
Bolívar;Córdoba;13212;282;258;248
Huila;Acevedo;41006;93;92;80
Antioquia;Turbo;5837;2663;2441;1994
Huila;Saladoblanco;41660;40;33;35
Antioquia;Ituango;5361;358;316;249
Magdalena;San Sebastián De Buenavista;47692;13;12;10
Valle Del Cauca;Obando;76497;32;23;27
Antioquia;Peque;5543;44;40;28
Quindío;Pijao;63548;8;8;7
Antioquia;Alejandría;5021;39;37;28
Córdoba;Ure;23682;165;142;156
Atlántico;Manatí;8436;12;12;12
Boyacá;Susacón;15774;4;4;4
Vichada;Santa Rosalía;99624;49;48;37
Sucre;Ovejas;70508;953;684;800
Tolima;Mariquita;73443;59;57;55
Bolívar;Talaigua Nuevo;13780;4;3;4
Quindío;Buenavista;63111;2;2;2
Chocó;Riosucio;27615;1483;1338;1169
Santander;San Andrés;68669;11;11;10
Valle Del Cauca;Andalucía;76036;16;14;13
Atlántico;Tubará;8832;73;54;66
Norte Santander;Pamplona;54518;9;9;5
Cundinamarca;Ricaurte;25612;5;5;2
Atlántico;Suan;8770;3;3;2
Huila;Elías;41244;2;2;1
Antioquia;Venecia;5861;8;8;5
Sucre;Los Palmitos;70418;177;163;147
Caquetá;El Paujil;18256;122;90;114
Chocó;Quibdó;27001;157;144;104
Chocó;El Cantón Del San Pablo;27135;6;6;6
Antioquia;Armenia;5059;22;19;16
Córdoba;Tuchín;23815;2;1;0
Valle Del Cauca;El Cairo;76246;43;35;35
Valle Del Cauca;Guacarí;76318;20;18;17
Boyacá;Jericó;15368;4;4;4
Cundinamarca;Topaipí;25823;70;66;55
Cundinamarca;Pandi;25524;16;16;12
Cauca;Mercaderes;19450;93;89;76
Santander;Guadalupe;68320;2;2;2
Antioquia;Chigorodó;5172;497;458;395
Chocó;Acandí;27006;163;137;126
Cundinamarca;Agua De Dios;25001;5;5;4
Bolívar;Altos Del Rosario;13030;47;40;37
Risaralda;Santuario;66687;58;52;50
Boyacá;Miraflores;15455;18;17;13
Bolívar;Pinillos;13549;18;13;16
Boyacá;San Pablo De Borbur;15681;21;19;18
Bolívar;Arjona;13052;128;42;118
Meta;La Macarena;50350;556;543;477
Casanare;Sácama;85315;14;14;14
Cauca;San Sebastián;19693;50;37;43
Norte Santander;Herrán;54347;2;2;1
Nariño;Magüi;52427;125;111;96
Antioquia;Carolina;5150;1;1;1
Bolívar;Turbaco;13836;93;85;60
Cundinamarca;Chocontá;25183;1;1;1
Caldas;Manzanares;17433;43;39;28
Antioquia;Mutatá;5480;666;641;514
Nariño;Cumbitara;52233;222;209;181
Boyacá;Panqueba;15522;2;2;1
Antioquia;Dabeiba;5234;610;519;389
Tolima;Melgar;73449;15;13;10
Caldas;Neira;17486;10;10;10
Huila;Tello;41799;86;77;79
Vaupés;Pacoa;97511;13;13;13
Cundinamarca;Girardot;25307;8;8;6
Antioquia;Ciudad Bolívar;5101;57;56;37
Antioquia;Tarazá;5790;510;480;438
Nariño;Policarpa;52540;617;603;463
La Guajira;Villanueva;44874;80;72;66
Bogotá D.C.;Bogotá;11001;375;342;273
La Guajira;Uribia;44847;3;3;2
Cesar;La Gloria;20383;521;450;479
Caldas;Supía;17777;24;21;23
Antioquia;Betulia;5093;81;73;52
Boyacá;Samacá;15646;1;1;1
Cundinamarca;Sasaima;25718;24;20;21
Santander;Florián;68271;7;7;7
Huila;Pitalito;41551;84;81;69
Antioquia;Uramita;5842;45;34;26
Antioquia;Zaragoza;5895;258;254;206
Cundinamarca;Nariño;25483;3;2;2
Nariño;Aldana;52022;3;3;1
Norte Santander;Cucutilla;54223;17;17;11
Casanare;Orocué;85230;134;117;113
Antioquia;Liborina;5411;4;3;4
Antioquia;Jericó;5368;7;7;7
Cundinamarca;Caqueza;25151;9;9;5
Tolima;Suárez;73770;20;20;6
Antioquia;Anorí;5040;128;120;99
Norte Santander;Salazar;54660;20;18;18
Sucre;Coveñas;70221;6;5;5
Sucre;San Juan De Betulia;70702;19;19;16
Antioquia;Cáceres;5120;677;572;566
Magdalena;Sabanas de San Ángel;47660;492;439;403
Meta;Villavicencio;50001;260;242;170
Boyacá;San Eduardo;15660;4;4;2
Vaupés;Yavaraté;97889;1;1;1
Santander;Oiba;68500;8;8;7
Antioquia;Retiro;5607;16;16;10
Bolívar;Regidor;13580;36;32;31
Tolima;Herveo;73347;53;51;45
Magdalena;El Retén;47268;20;11;20
Nariño;Los Andes;52418;595;574;446
Boyacá;Buenavista;15109;1;1;1
Cundinamarca;Fosca;25281;10;10;4
Vichada;Cumaribo;99773;917;883;737
Putumayo;Orito;86320;883;845;799
Cundinamarca;Villeta;25875;7;7;7
Huila;Altamira;41026;5;5;4
Huila;La Plata;41396;79;74;66
Cesar;Curumaní;20228;386;330;308
Boyacá;Viracachá;15879;1;1;1
Antioquia;Abejorral;5002;73;64;62
Antioquia;Necoclí;5490;730;665;544
Córdoba;San Bernardo Del Viento;23675;16;15;14
Boyacá;Soatá;15753;1;1;1
Santander;Bolívar;68101;86;85;72
Boyacá;Mongua;15464;10;10;7
Antioquia;Concepción;5206;33;33;27
Antioquia;San Juan De Urabá;5659;37;36;33
Bolívar;Simití;13744;224;200;160
Antioquia;San Roque;5670;244;223;171
Cundinamarca;Quebradanegra;25592;8;8;8
Santander;Zapatoca;68895;33;29;28
Cundinamarca;Cabrera;25120;27;25;25
Santander;Rionegro;68615;283;271;221
Norte Santander;Ragonvalia;54599;13;12;8
Antioquia;Entrerrios;5264;12;12;5
Cundinamarca;Nilo;25488;5;5;4
Valle Del Cauca;La Victoria;76403;4;3;4
Casanare;San Luis De Palenque;85325;79;48;62
Atlántico;Puerto Colombia;8573;9;9;8
Boyacá;Páez;15514;83;76;71
Risaralda;Guática;66318;73;71;51
Santander;Vélez;68861;22;20;17
Norte Santander;Silos;54743;2;2;2
Atlántico;Juan De Acosta;8372;4;4;4
Meta;Restrepo;50606;23;22;20
Tolima;Coyaima;73217;325;278;199
Putumayo;Sibundoy;86749;11;10;10
Huila;Palestina;41530;16;13;14
Santander;Albania;68020;11;9;8
Santander;Onzaga;68502;4;4;4
Magdalena;Concordia;47205;5;5;4
Valle Del Cauca;Ulloa;76845;8;3;7
