;Gender;EthnicGroup;ParentEduc;LunchType;TestPrep;ParentMaritalStatus;PracticeSport;IsFirstChild;NrSiblings;TransportMeans;WklyStudyHours;MathScore;ReadingScore;WritingScore
0;male;group B;bachelor's degree;free/reduced;none;married;sometimes;yes;4;private;> 10;62;52;53
0;male;group B;bachelor's degree;standard;completed;single;never;no;4;private;5 - 10;69;67;69
0;female;group C;associate's degree;standard;completed;divorced;regularly;yes;4;school_bus;5 - 10;72;88;96
0;female;group E;master's degree;standard;none;divorced;regularly;yes;4;private;> 10;88;76;80
0;female;group A;some college;standard;completed;married;regularly;yes;5;private;> 10;86;96;99
0;male;group C;high school;standard;none;married;sometimes;yes;5;school_bus;5 - 10;56;50;41
0;female;group C;some college;free/reduced;none;single;sometimes;no;5;school_bus;5 - 10;44;62;59
1;female;group B;associate's degree;standard;;widowed;sometimes;yes;0;school_bus;< 5;;78;82
1;male;;high school;standard;completed;married;regularly;yes;0;school_bus;5 - 10;72;73;68
1;male;group B;associate's degree;standard;none;married;regularly;yes;0;school_bus;< 5;92;89;89
1;female;group C;some college;standard;;married;sometimes;yes;0;;5 - 10;69;90;88
1;male;group D;some high school;standard;none;;sometimes;yes;;school_bus;< 5;;78;80
1;female;group D;some college;standard;none;married;sometimes;no;1;private;5 - 10;87;96;96
1;male;group D;some college;standard;none;single;sometimes;yes;1;school_bus;< 5;67;65;65
1;female;group D;some high school;free/reduced;completed;single;never;yes;1;private;;71;95;93
1;male;group B;;standard;;single;never;yes;1;;5 - 10;;49;45
1;female;group E;associate's degree;standard;none;single;regularly;yes;1;private;5 - 10;79;74;74
1;female;group C;some college;standard;completed;single;sometimes;yes;1;school_bus;< 5;88;96;98
1;female;group A;some college;free/reduced;none;single;regularly;no;1;school_bus;5 - 10;60;66;69
1;female;group C;some college;standard;completed;single;;yes;1;private;5 - 10;74;77;79
1;male;;bachelor's degree;standard;none;married;regularly;no;1;private;5 - 10;;58;52
1;female;group C;some high school;free/reduced;none;divorced;sometimes;no;1;private;< 5;50;57;52
1;male;group B;some high school;free/reduced;none;single;regularly;no;1;school_bus;< 5;46;53;46
1;female;group D;some high school;standard;;married;regularly;yes;2;school_bus;5 - 10;;100;100
1;female;group B;high school;free/reduced;none;single;sometimes;yes;2;school_bus;5 - 10;41;54;47
1;female;group E;high school;standard;;married;sometimes;yes;2;;5 - 10;80;89;84
1;male;group B;high school;standard;;married;regularly;yes;2;private;5 - 10;89;79;86
1;male;group C;associate's degree;standard;none;married;regularly;yes;2;;5 - 10;69;51;56
1;male;;high school;free/reduced;completed;single;sometimes;yes;2;private;5 - 10;;79;74
1;male;group D;some high school;free/reduced;;married;sometimes;yes;3;school_bus;5 - 10;;85;80
1;female;group E;associate's degree;free/reduced;none;married;regularly;yes;3;private;< 5;53;71;67
1;male;group A;some college;free/reduced;none;divorced;sometimes;no;3;private;5 - 10;71;64;57
1;female;group B;some college;standard;none;single;regularly;no;3;school_bus;< 5;58;64;68
1;male;group E;some high school;standard;none;single;sometimes;yes;3;school_bus;< 5;71;60;51
1;female;group A;some high school;free/reduced;none;single;never;yes;3;private;> 10;44;58;58
1;male;group D;bachelor's degree;standard;completed;;regularly;yes;4;private;> 10;88;90;93
1;female;group C;some college;standard;none;married;sometimes;yes;6;private;5 - 10;70;86;83
1;male;group C;some college;free/reduced;completed;single;sometimes;yes;7;school_bus;5 - 10;73;72;81
10;male;group B;some college;standard;none;divorced;regularly;yes;0;school_bus;5 - 10;74;70;69
10;male;group E;high school;standard;none;married;regularly;yes;0;private;< 5;93;82;78
10;female;group E;;free/reduced;none;married;sometimes;;0;private;< 5;64;79;74
10;male;group A;bachelor's degree;standard;completed;married;regularly;yes;;school_bus;< 5;73;80;81
10;female;group C;master's degree;standard;completed;divorced;regularly;yes;;private;5 - 10;58;78;76
10;male;group B;some college;standard;completed;married;never;no;1;private;< 5;63;57;53
10;female;group D;some high school;free/reduced;;married;sometimes;no;1;private;5 - 10;63;65;76
10;male;group C;associate's degree;standard;none;;sometimes;yes;1;private;5 - 10;58;54;52
10;male;group B;high school;standard;none;divorced;regularly;yes;1;private;< 5;58;47;38
10;male;group C;;standard;none;married;sometimes;yes;1;private;5 - 10;87;65;67
10;male;group D;some high school;free/reduced;completed;married;sometimes;yes;2;school_bus;> 10;;42;46
10;male;group D;some college;free/reduced;none;single;sometimes;yes;2;private;5 - 10;61;61;61
10;male;group B;bachelor's degree;standard;completed;married;sometimes;no;2;school_bus;5 - 10;95;100;98
10;female;group B;some college;standard;none;;sometimes;no;2;private;5 - 10;75;86;84
10;male;group B;master's degree;standard;completed;;never;no;2;school_bus;< 5;84;88;86
10;male;group B;bachelor's degree;free/reduced;none;;sometimes;yes;2;private;> 10;79;76;73
10;female;group D;bachelor's degree;free/reduced;none;single;never;;3;school_bus;5 - 10;70;79;84
10;male;group D;bachelor's degree;free/reduced;completed;married;sometimes;yes;3;school_bus;< 5;63;63;65
10;female;group D;associate's degree;standard;none;divorced;;yes;3;;> 10;81;84;88
10;female;group C;;standard;completed;married;regularly;no;3;private;5 - 10;75;88;94
10;female;group C;high school;standard;none;married;regularly;no;3;school_bus;5 - 10;92;90;87
10;male;group C;some college;standard;none;divorced;never;no;3;school_bus;5 - 10;52;41;49
10;male;group E;bachelor's degree;standard;none;;regularly;yes;4;school_bus;< 5;99;99;100
10;female;group D;high school;standard;none;married;sometimes;yes;4;school_bus;5 - 10;63;65;67
10;male;group D;high school;standard;completed;married;sometimes;no;4;private;5 - 10;75;64;69
10;female;group C;bachelor's degree;standard;none;divorced;sometimes;yes;4;school_bus;< 5;39;54;53
10;female;group C;associate's degree;standard;none;married;sometimes;yes;5;school_bus;5 - 10;47;46;49
10;female;group B;high school;standard;none;divorced;never;yes;5;school_bus;5 - 10;65;77;70
10;male;group C;some college;standard;completed;divorced;sometimes;no;5;private;5 - 10;;61;67
10;male;group B;associate's degree;free/reduced;none;married;never;no;6;;< 5;49;40;42
10;female;group C;bachelor's degree;standard;none;single;never;yes;7;school_bus;5 - 10;77;89;87
100;male;group D;;standard;none;married;sometimes;yes;0;private;5 - 10;84;79;86
100;male;group C;some high school;standard;none;;sometimes;yes;;school_bus;5 - 10;;57;59
100;female;group D;high school;free/reduced;completed;married;never;yes;1;private;< 5;71;97;92
100;female;group E;some college;standard;none;married;sometimes;yes;1;private;< 5;68;69;63
100;male;group D;master's degree;standard;none;married;regularly;no;1;private;< 5;80;82;75
100;male;group B;bachelor's degree;free/reduced;none;married;sometimes;yes;1;school_bus;< 5;55;48;48
100;male;group C;associate's degree;standard;none;married;sometimes;no;1;private;5 - 10;79;75;72
100;female;group B;bachelor's degree;standard;none;single;sometimes;yes;1;school_bus;5 - 10;81;79;78
100;male;group C;high school;standard;none;married;sometimes;no;1;school_bus;5 - 10;;72;61
100;male;group B;associate's degree;standard;completed;single;sometimes;no;2;private;5 - 10;65;70;61
100;male;group D;some high school;free/reduced;none;single;regularly;no;2;private;< 5;47;57;54
100;male;group C;associate's degree;standard;none;married;sometimes;no;2;private;5 - 10;78;75;73
100;male;group C;some college;free/reduced;;married;sometimes;no;2;school_bus;5 - 10;72;74;67
100;female;group C;associate's degree;free/reduced;none;married;sometimes;yes;2;private;5 - 10;61;76;65
100;female;group B;associate's degree;standard;none;married;sometimes;yes;2;;< 5;78;92;86
100;male;group C;bachelor's degree;standard;completed;married;regularly;no;2;private;5 - 10;93;82;87
100;male;group D;bachelor's degree;standard;none;single;sometimes;yes;3;private;< 5;;68;67
100;female;group E;master's degree;standard;completed;married;never;yes;3;school_bus;< 5;86;97;95
100;male;group D;associate's degree;standard;completed;married;sometimes;yes;3;private;< 5;84;79;74
100;male;group D;some college;standard;completed;;;no;3;private;5 - 10;83;88;84
100;male;group C;some high school;standard;none;married;sometimes;no;3;school_bus;> 10;71;72;69
100;female;group E;some college;standard;none;married;sometimes;no;3;school_bus;< 5;75;78;74
100;female;group B;bachelor's degree;standard;none;single;sometimes;yes;3;private;5 - 10;49;67;61
100;male;group D;bachelor's degree;standard;completed;single;regularly;yes;4;school_bus;;96;99;100
100;male;group D;some college;standard;none;single;sometimes;yes;4;private;< 5;71;72;69
100;female;group C;associate's degree;standard;none;single;regularly;yes;4;;< 5;56;58;59
100;female;group B;associate's degree;standard;none;married;regularly;yes;4;;> 10;48;57;62
100;male;group C;some college;free/reduced;none;divorced;sometimes;no;4;school_bus;5 - 10;;84;73
100;female;group D;master's degree;free/reduced;none;married;regularly;no;5;school_bus;> 10;44;55;54
100;male;group B;some high school;free/reduced;completed;married;sometimes;no;5;private;5 - 10;51;53;50
100;male;group B;some college;standard;none;married;sometimes;no;7;school_bus;5 - 10;;67;67
101;female;group D;high school;free/reduced;none;married;never;yes;0;private;> 10;29;40;33
101;female;group C;some high school;free/reduced;completed;single;sometimes;yes;0;school_bus;< 5;;66;64
101;male;group D;some college;standard;;married;sometimes;yes;;private;5 - 10;73;74;77
101;male;group D;bachelor's degree;standard;completed;single;sometimes;no;1;private;5 - 10;;74;74
101;female;group B;associate's degree;standard;completed;divorced;never;yes;1;school_bus;< 5;63;79;79
101;female;group D;bachelor's degree;standard;none;divorced;sometimes;yes;1;private;> 10;67;68;74
101;female;group B;some college;free/reduced;none;married;sometimes;no;1;school_bus;< 5;68;86;81
101;female;group E;associate's degree;standard;none;married;regularly;no;1;school_bus;;59;66;68
101;male;group B;high school;standard;none;married;sometimes;no;1;school_bus;< 5;64;58;56
101;male;group B;high school;standard;completed;married;regularly;yes;1;school_bus;5 - 10;90;94;98
101;female;;bachelor's degree;standard;none;married;regularly;no;1;school_bus;> 10;;86;85
101;male;group E;high school;free/reduced;none;married;sometimes;yes;1;private;< 5;60;46;45
101;female;group B;some college;standard;completed;married;sometimes;yes;2;private;5 - 10;75;72;81
101;female;group C;high school;standard;none;married;never;yes;2;school_bus;5 - 10;50;55;59
101;male;group C;high school;standard;completed;married;sometimes;no;2;school_bus;5 - 10;74;73;64
101;female;group C;;free/reduced;none;single;never;yes;2;;5 - 10;32;44;35
101;female;group C;bachelor's degree;standard;completed;single;sometimes;no;2;private;> 10;79;85;84
101;female;group C;some high school;free/reduced;none;single;sometimes;no;2;school_bus;< 5;;50;49
101;female;group E;some college;free/reduced;completed;;regularly;no;3;school_bus;5 - 10;91;91;100
101;female;group D;associate's degree;free/reduced;completed;single;sometimes;no;3;private;5 - 10;72;85;84
101;male;group D;associate's degree;standard;none;married;never;no;3;school_bus;5 - 10;79;80;78
101;female;group D;high school;standard;completed;married;never;yes;3;private;5 - 10;72;89;84
101;female;group B;high school;standard;none;married;sometimes;no;3;;5 - 10;44;53;51
101;female;group C;some college;free/reduced;none;married;regularly;yes;3;school_bus;< 5;38;51;55
101;male;;associate's degree;standard;completed;divorced;regularly;yes;3;school_bus;< 5;91;83;88
101;female;group B;high school;standard;none;divorced;sometimes;yes;4;private;5 - 10;72;67;68
101;female;group E;high school;free/reduced;none;married;regularly;;4;school_bus;5 - 10;53;60;54
101;female;group E;;free/reduced;completed;married;never;no;4;school_bus;5 - 10;72;92;85
101;male;group C;associate's degree;free/reduced;none;married;regularly;yes;5;school_bus;5 - 10;41;22;24
101;female;group B;bachelor's degree;free/reduced;completed;widowed;sometimes;no;5;school_bus;> 10;;44;55
101;male;group C;some high school;standard;none;divorced;sometimes;yes;6;school_bus;5 - 10;63;58;59
102;male;group D;some college;standard;none;married;regularly;yes;0;private;> 10;;71;69
102;female;group B;some high school;standard;completed;single;sometimes;yes;0;;> 10;;90;99
102;female;group C;associate's degree;standard;none;married;sometimes;yes;0;school_bus;> 10;;36;43
102;male;;associate's degree;standard;;married;;yes;0;school_bus;5 - 10;;54;52
102;female;group E;some college;standard;none;married;sometimes;yes;0;private;> 10;;66;64
102;female;group D;some high school;standard;none;divorced;sometimes;yes;1;private;5 - 10;;39;37
102;male;group B;some college;standard;none;married;regularly;yes;1;school_bus;5 - 10;70;68;67
102;female;group B;associate's degree;standard;none;single;sometimes;no;1;school_bus;< 5;60;70;67
102;male;group D;associate's degree;free/reduced;none;single;regularly;yes;1;school_bus;< 5;64;66;62
102;female;;bachelor's degree;standard;none;single;sometimes;no;1;private;> 10;72;85;81
102;female;group D;;standard;none;married;never;yes;1;private;5 - 10;73;79;78
102;male;;;standard;none;married;sometimes;no;1;school_bus;5 - 10;50;42;41
102;female;group C;some college;free/reduced;none;married;regularly;yes;1;private;< 5;55;64;68
102;female;group C;bachelor's degree;standard;completed;single;regularly;yes;1;school_bus;5 - 10;87;100;100
102;male;group C;some college;standard;none;married;regularly;no;1;private;5 - 10;78;72;70
102;female;group D;high school;standard;completed;married;sometimes;yes;2;private;< 5;70;81;88
102;male;group D;some college;standard;completed;single;sometimes;no;2;private;5 - 10;77;77;72
102;female;group E;bachelor's degree;standard;completed;widowed;never;no;2;school_bus;5 - 10;;94;97
102;female;group A;master's degree;standard;none;married;sometimes;yes;2;;> 10;79;81;87
102;female;group E;associate's degree;free/reduced;none;single;sometimes;yes;2;school_bus;5 - 10;54;58;53
102;female;group B;high school;standard;none;married;sometimes;yes;2;school_bus;< 5;79;93;86
102;male;group E;high school;free/reduced;none;married;regularly;no;2;;> 10;56;58;52
102;female;group D;associate's degree;standard;none;married;regularly;yes;3;school_bus;5 - 10;;92;91
102;male;group E;master's degree;free/reduced;none;married;regularly;yes;3;school_bus;> 10;81;77;76
102;female;group C;master's degree;standard;none;single;regularly;yes;3;private;> 10;75;86;84
102;male;group C;some high school;free/reduced;none;married;never;yes;3;school_bus;5 - 10;41;42;34
102;female;group E;high school;standard;completed;married;sometimes;;3;school_bus;< 5;74;73;77
102;female;group C;some college;standard;completed;single;regularly;yes;3;;5 - 10;87;100;100
102;male;group C;some college;free/reduced;none;married;sometimes;no;3;private;< 5;79;85;75
102;female;group C;master's degree;standard;completed;married;sometimes;yes;4;school_bus;> 10;76;79;84
102;male;group C;associate's degree;free/reduced;none;single;regularly;no;7;school_bus;5 - 10;64;69;66
103;female;group B;;standard;completed;married;regularly;yes;0;private;5 - 10;;96;100
103;female;group B;high school;standard;none;married;sometimes;yes;;school_bus;> 10;;65;66
103;male;group D;some college;standard;;single;sometimes;yes;;private;5 - 10;47;40;35
103;female;group B;some high school;standard;completed;married;regularly;no;;private;5 - 10;61;73;73
103;female;group D;some college;standard;completed;married;sometimes;no;1;school_bus;> 10;;88;94
103;female;group E;some college;free/reduced;none;divorced;regularly;no;1;private;< 5;31;44;42
103;male;group D;some college;free/reduced;completed;married;never;yes;1;school_bus;> 10;66;71;70
103;female;group E;associate's degree;free/reduced;completed;married;regularly;yes;1;school_bus;5 - 10;80;93;91
103;male;group E;some college;standard;none;widowed;regularly;no;1;;5 - 10;;80;84
103;male;group C;master's degree;standard;completed;;regularly;yes;1;private;5 - 10;81;83;80
103;male;group A;master's degree;standard;none;married;sometimes;no;1;school_bus;5 - 10;90;82;85
103;male;group E;high school;free/reduced;none;;sometimes;yes;1;school_bus;5 - 10;64;62;53
103;female;group C;high school;free/reduced;none;divorced;never;yes;1;school_bus;< 5;28;47;41
103;male;group C;associate's degree;standard;completed;married;never;;1;;< 5;80;73;74
103;female;group D;bachelor's degree;standard;;divorced;sometimes;no;2;school_bus;> 10;58;82;83
103;female;group B;associate's degree;standard;completed;single;never;no;2;school_bus;5 - 10;89;98;97
103;male;group D;some college;standard;none;married;never;yes;2;private;< 5;51;50;53
103;male;group C;bachelor's degree;standard;completed;;sometimes;yes;2;private;5 - 10;;62;58
103;male;group B;high school;standard;completed;married;regularly;no;3;school_bus;5 - 10;61;44;48
103;male;group B;some college;free/reduced;none;married;never;yes;3;school_bus;5 - 10;44;44;39
103;female;group B;some college;free/reduced;completed;;regularly;yes;3;;< 5;64;82;82
103;female;group C;some high school;free/reduced;none;married;sometimes;no;3;private;5 - 10;38;51;54
103;female;;some college;standard;none;single;regularly;yes;3;private;5 - 10;60;62;66
103;female;group C;some high school;standard;none;single;regularly;yes;3;school_bus;5 - 10;58;66;70
103;female;group E;associate's degree;standard;none;married;regularly;no;3;school_bus;5 - 10;65;79;76
103;male;group C;some college;free/reduced;none;married;sometimes;no;3;school_bus;5 - 10;63;50;49
103;male;group E;bachelor's degree;standard;none;married;sometimes;yes;4;school_bus;< 5;82;73;69
103;female;group A;some high school;standard;none;divorced;sometimes;no;4;school_bus;< 5;44;55;50
103;male;group C;some high school;free/reduced;completed;single;sometimes;no;4;private;5 - 10;60;59;60
103;female;group C;high school;free/reduced;none;single;regularly;yes;4;private;< 5;52;72;68
103;male;group D;bachelor's degree;standard;completed;single;sometimes;yes;6;school_bus;< 5;70;64;69
104;female;;associate's degree;free/reduced;none;divorced;sometimes;;0;school_bus;> 10;;73;67
104;female;group C;some college;standard;completed;;sometimes;yes;0;school_bus;5 - 10;;79;76
104;male;group B;bachelor's degree;standard;none;widowed;sometimes;yes;0;;< 5;;86;88
104;female;group C;some high school;free/reduced;completed;married;sometimes;yes;0;school_bus;5 - 10;;81;89
104;female;group C;some college;standard;completed;married;sometimes;yes;0;;5 - 10;;44;41
104;male;group E;some college;standard;;married;regularly;yes;0;school_bus;< 5;;78;80
104;female;group C;bachelor's degree;standard;none;single;regularly;yes;;private;< 5;;71;77
104;male;;some college;standard;completed;married;regularly;yes;1;school_bus;> 10;100;88;94
104;female;group B;;free/reduced;;married;sometimes;yes;1;school_bus;< 5;;60;55
104;male;group B;master's degree;standard;none;married;never;;1;private;> 10;80;72;68
104;male;group D;associate's degree;standard;none;single;sometimes;no;1;school_bus;5 - 10;70;65;65
104;female;group D;;free/reduced;completed;married;regularly;no;1;school_bus;> 10;49;55;58
104;male;group D;some college;free/reduced;none;single;regularly;no;1;;> 10;57;56;54
104;female;group D;master's degree;standard;completed;married;sometimes;yes;1;private;< 5;70;92;89
104;female;group D;high school;free/reduced;completed;single;regularly;no;1;private;< 5;79;92;96
104;male;group C;some college;standard;completed;single;sometimes;no;1;private;< 5;78;80;78
104;male;group C;;standard;completed;married;sometimes;yes;1;private;> 10;71;71;74
104;female;group C;master's degree;free/reduced;completed;;never;yes;1;school_bus;5 - 10;43;64;61
104;female;group D;some college;standard;none;single;sometimes;no;2;school_bus;5 - 10;58;62;61
104;female;group D;some high school;free/reduced;completed;single;sometimes;yes;2;private;< 5;56;75;73
104;female;group C;some college;standard;none;married;sometimes;yes;2;;5 - 10;62;64;61
104;female;group E;some college;standard;completed;widowed;sometimes;yes;2;private;5 - 10;;78;82
104;female;group B;bachelor's degree;free/reduced;none;married;sometimes;yes;3;school_bus;5 - 10;64;75;71
104;female;group A;associate's degree;free/reduced;none;married;never;no;3;school_bus;5 - 10;56;62;59
104;female;group C;associate's degree;free/reduced;none;single;regularly;no;3;school_bus;5 - 10;65;65;67
104;male;group B;some college;standard;completed;single;regularly;yes;4;school_bus;5 - 10;76;73;73
104;male;group D;some high school;free/reduced;none;married;regularly;no;4;private;5 - 10;57;57;59
104;female;group E;high school;standard;none;single;sometimes;no;4;private;5 - 10;61;68;64
104;female;group E;some college;free/reduced;completed;divorced;sometimes;no;4;school_bus;5 - 10;77;73;81
104;male;group B;some high school;standard;none;married;sometimes;no;4;school_bus;5 - 10;61;55;50
104;female;group A;high school;free/reduced;completed;single;sometimes;yes;6;;5 - 10;38;49;52
105;male;group B;some high school;standard;none;married;sometimes;yes;0;school_bus;< 5;;75;73
105;female;group C;some college;standard;none;married;sometimes;yes;0;school_bus;5 - 10;;67;72
105;male;group C;bachelor's degree;free/reduced;none;divorced;never;yes;0;school_bus;5 - 10;;77;75
105;female;group C;associate's degree;standard;none;married;sometimes;yes;0;;5 - 10;;69;60
105;male;group C;associate's degree;standard;none;single;sometimes;yes;;private;< 5;74;63;63
105;female;group D;high school;standard;none;married;regularly;yes;1;school_bus;5 - 10;;71;75
105;female;group E;associate's degree;free/reduced;completed;widowed;never;no;1;school_bus;5 - 10;;93;94
105;female;;some college;standard;completed;divorced;regularly;yes;1;private;> 10;88;99;100
105;female;group A;some high school;standard;completed;single;sometimes;no;1;private;> 10;70;80;74
105;female;group E;some college;free/reduced;completed;married;sometimes;yes;1;private;5 - 10;74;87;82
105;female;group E;some college;standard;none;married;regularly;yes;1;private;5 - 10;91;100;95
105;male;group B;master's degree;standard;none;single;sometimes;no;1;school_bus;< 5;85;78;78
105;male;group E;some college;free/reduced;;widowed;sometimes;no;1;school_bus;< 5;;63;51
105;female;group C;associate's degree;standard;completed;married;sometimes;;1;private;5 - 10;79;91;97
105;female;group B;some high school;free/reduced;none;single;sometimes;yes;1;private;;49;62;59
105;male;group C;high school;standard;completed;single;sometimes;no;1;school_bus;5 - 10;73;79;72
105;male;group D;some high school;free/reduced;completed;single;;yes;2;school_bus;< 5;68;70;65
105;male;group C;bachelor's degree;free/reduced;none;married;sometimes;yes;2;school_bus;5 - 10;;87;76
105;female;group A;some high school;standard;none;married;sometimes;yes;2;private;5 - 10;61;77;76
105;female;group C;high school;standard;completed;married;sometimes;yes;2;school_bus;> 10;73;78;83
105;male;group E;some college;standard;none;single;regularly;yes;2;private;< 5;93;83;88
105;male;group E;some high school;free/reduced;completed;divorced;sometimes;no;3;school_bus;5 - 10;61;62;49
105;male;group D;associate's degree;free/reduced;;married;regularly;yes;3;school_bus;5 - 10;67;59;59
105;female;group D;;free/reduced;none;single;sometimes;no;3;;> 10;44;50;57
105;male;group A;some college;standard;completed;single;regularly;yes;3;private;5 - 10;64;54;66
105;male;group D;bachelor's degree;standard;;married;never;yes;3;school_bus;> 10;95;99;92
105;female;group D;some college;standard;none;married;regularly;no;3;school_bus;< 5;55;65;62
105;female;group D;associate's degree;standard;none;single;sometimes;yes;4;school_bus;;73;77;75
105;male;group D;high school;standard;completed;married;sometimes;no;4;school_bus;> 10;95;87;78
105;female;group C;some college;free/reduced;completed;married;sometimes;no;4;private;5 - 10;37;45;47
105;male;group A;high school;free/reduced;none;married;sometimes;no;4;school_bus;< 5;53;50;46
106;male;group D;;standard;none;married;sometimes;yes;0;school_bus;5 - 10;;41;49
106;female;;some college;free/reduced;none;married;regularly;yes;0;school_bus;5 - 10;;65;74
106;female;;high school;standard;none;married;regularly;yes;0;private;< 5;;74;66
106;male;group C;some college;free/reduced;completed;divorced;sometimes;yes;0;school_bus;5 - 10;;89;85
106;male;group D;;standard;completed;married;regularly;yes;1;school_bus;5 - 10;63;61;55
106;female;group D;high school;standard;none;married;regularly;yes;1;;< 5;61;75;77
106;male;group E;some college;standard;none;married;sometimes;yes;1;private;> 10;60;50;47
106;male;group D;associate's degree;standard;completed;single;sometimes;yes;1;school_bus;5 - 10;62;65;66
106;female;group C;high school;free/reduced;completed;married;regularly;yes;1;school_bus;5 - 10;59;78;85
106;male;;some high school;standard;completed;married;sometimes;yes;1;school_bus;5 - 10;84;75;80
106;female;group C;associate's degree;standard;completed;single;sometimes;yes;1;school_bus;> 10;46;49;60
106;female;group B;some high school;standard;completed;divorced;never;yes;2;school_bus;> 10;;91;92
106;male;group A;master's degree;standard;completed;married;never;yes;2;school_bus;< 5;93;98;95
106;female;group B;some college;standard;none;married;sometimes;no;2;school_bus;< 5;66;74;76
106;female;group B;bachelor's degree;standard;;single;regularly;yes;2;school_bus;< 5;55;74;70
106;male;;high school;standard;completed;married;sometimes;yes;2;school_bus;> 10;;43;44
106;female;group B;associate's degree;standard;none;single;sometimes;no;2;school_bus;5 - 10;55;66;65
106;female;group D;master's degree;standard;none;married;sometimes;no;3;private;5 - 10;;100;100
106;female;group C;some high school;free/reduced;none;single;regularly;yes;3;school_bus;< 5;58;78;71
106;female;group C;associate's degree;free/reduced;none;single;sometimes;yes;3;private;> 10;61;74;66
106;male;group E;some high school;standard;none;single;sometimes;no;4;;< 5;69;74;64
106;female;group E;some high school;standard;none;single;regularly;yes;4;private;> 10;62;75;64
106;male;group E;master's degree;free/reduced;none;divorced;sometimes;yes;4;school_bus;5 - 10;87;77;77
106;female;group D;some college;standard;none;divorced;sometimes;yes;4;;> 10;77;77;79
106;male;group B;some college;standard;none;divorced;never;yes;4;school_bus;< 5;54;37;34
106;male;group C;associate's degree;free/reduced;none;divorced;regularly;yes;4;school_bus;5 - 10;57;45;47
106;female;group E;high school;standard;completed;divorced;regularly;yes;5;school_bus;> 10;82;83;86
106;male;group D;some college;standard;completed;married;sometimes;no;6;school_bus;5 - 10;84;80;84
107;male;group E;;standard;completed;single;sometimes;yes;0;school_bus;5 - 10;;63;64
107;male;group C;associate's degree;free/reduced;completed;single;never;no;;private;> 10;;81;81
107;female;group E;some high school;free/reduced;completed;married;never;no;;private;< 5;46;60;58
107;male;group C;some college;standard;completed;married;sometimes;yes;;private;5 - 10;70;71;72
107;female;group E;some high school;standard;none;single;sometimes;no;1;school_bus;5 - 10;81;82;74
107;female;group B;high school;standard;none;;sometimes;yes;1;school_bus;5 - 10;78;75;77
107;male;group D;associate's degree;standard;none;married;sometimes;yes;1;school_bus;5 - 10;76;78;71
107;female;;some college;standard;completed;married;sometimes;yes;1;private;< 5;73;80;75
107;female;group C;some high school;free/reduced;none;married;never;yes;1;private;< 5;44;60;50
107;male;group B;high school;free/reduced;none;married;never;yes;1;school_bus;5 - 10;61;54;51
107;male;group C;high school;standard;none;married;never;no;1;private;< 5;84;80;70
107;female;group C;some high school;free/reduced;none;single;sometimes;yes;1;private;5 - 10;57;70;68
107;female;group C;associate's degree;standard;completed;single;sometimes;no;1;school_bus;> 10;;68;67
107;female;group A;some college;standard;none;;sometimes;yes;2;school_bus;5 - 10;58;71;64
107;female;;;standard;none;married;regularly;no;2;school_bus;< 5;37;40;43
