"creditcd","eqpdays","Customer_ID"
"Y",77,1032696
"Y",57,1093387
"Y",1287,1001625
"Y",267,1081400
"Y",331,1089186
"Y",341,1067010
"N",215,1007320
"Y",1101,1007430
"N",329,1068733
"Y",451,1019889
"N",82,1056185
"Y",564,1032546
"Y",1112,1098345
"Y",370,1062207
"N",195,1094977
"",305,1062616
"Y",374,1058995
"Y",430,1006287
"Y",766,1013974
"Y",290,1093124
"N",287,1065852
"Y",101,1042847
"N",428,1060118
"Y",90,1048512
"N",590,1040385
"Y",142,1025096
"N",174,1071599
"Y",484,1060947
"Y",314,1081005
"Y",285,1087823
"Y",546,1045020
"Y",350,1087477
"Y",614,1025021
"Y",585,1040914
"Y",258,1069947
"Y",1137,1098232
"N",949,1005699
"Y",569,1048967
"N",180,1093202
"Y",725,1028000
"Y",360,1053645
"N",21,1080293
"Y",346,1071702
"Y",937,1098876
"Y",588,1040655
"N",103,1064822
"Y",347,1066134
"Y",257,1004406
"Y",684,1019750
"Y",305,1078658
"N",212,1090490
"N",581,1041293
"N",203,1096766
"Y",371,1067322
"Y",520,1047591
"Y",27,1064223
"N",240,1072950
"N",343,1088048
"N",207,1094359
"Y",209,1083803
"N",193,1090666
"Y",1035,1099332
"Y",325,1005759
"N",283,1066452
"N",287,1087958
"Y",269,1080759
"N",167,1051374
"N",353,1065096
"N",403,1064449
"N",130,1097617
"N",318,1079744
"N",300,1085107
"Y",183,1093122
"N",122,1015622
"N",342,1088097
"N",29,1094886
"Y",281,1075935
"Y",569,1031000
"Y",691,1028009
"Y",378,1080063
"Y",63,1088803
"Y",395,1057394
"N",176,1083847
"",1073,1004622
"N",514,1043586
"N",154,1023220
"N",467,1042022
"Y",486,1060777
"N",253,1095146
"Y",340,1007375
"N",548,1051527
"Y",242,1072544
"Y",249,1095300
"Y",379,1050504
"Y",285,1089251
"N",326,1058757
"Y",834,1021172
"Y",416,1001683
"Y",486,1046434
"N",334,1067869
"N",93,1047075
"Y",375,1081101
"N",314,1081193
"N",152,1080201
"N",302,1085011
"Y",325,1077911
"N",347,1066227
"N",225,1035954
"Y",856,1019268
"Y",320,1078986
"Y",24,1023193
"N",183,1054220
"N",620,1037741
"Y",265,1068920
"N",248,1086473
"Y",101,1052830
"Y",153,1000176
"Y",313,1081662
"Y",736,1099499
"Y",359,1085651
"Y",313,1081514
"N",69,1090686
"Y",386,1059099
"Y",395,1016777
"N",455,1043290
"N",53,1025128
"N",413,1072178
"Y",567,1025573
"N",368,1062492
"N",472,1062964
"N",564,1032485
"N",365,1062924
"Y",578,1097793
"Y",409,1055414
"Y",438,1068325
"Y",514,1043544
"Y",406,1055858
"N",70,1067749
"Y",765,1021745
"Y",265,1089701
"Y",192,1085348
"Y",400,1056646
"N",269,1005738
"Y",406,1020624
"Y",679,1030371
"Y",430,1002201
"N",305,1062539
"Y",74,1013192
"Y",303,1022935
"Y",783,1099918
"Y",352,1039959
"N",674,1031993
"N",208,1063014
"Y",66,1084891
"Y",314,1061190
"Y",1461,1000337
"Y",274,1058654
"",687,1028594
"N",251,1089107
"Y",339,1087319
"Y",1235,1003750
"Y",201,1096822
"Y",271,1094235
"N",905,1010974
"N",604,1025871
"N",229,1088655
"Y",239,1063484
"Y",368,1069603
"Y",741,1030138
"",421,1070944
"N",368,1010689
"N",226,1075772
"N",46,1086479
"Y",371,1052443
"Y",609,1038695
"Y",674,1019035
"Y",185,1031167
"Y",171,1010823
"Y",-3,1031035
"N",158,1095186
"Y",440,1044814
"Y",519,1043128
"N",727,1016117
"Y",253,1085566
"Y",499,1045079
"N",309,1061961
"Y",137,1023921
"Y",309,1071831
"Y",300,1030091
"Y",49,1036722
"Y",229,1075065
"Y",296,1064073
"Y",1422,1001262
"N",290,1065411
"Y",1019,1003084
"Y",536,1046014
"N",305,1084542
"N",188,1056233
"Y",424,1029194
"Y",371,1082533
"Y",240,1087698
"N",50,1093888
"N",238,1095758
"Y",581,1047577
"Y",704,1026602
"Y",215,1094022
"N",69,1010468
"Y",15,1069166
"Y",655,1026955
"N",134,1020167
"Y",746,1019671
"Y",729,1033295
"Y",245,1072143
"Y",418,1046928
"N",993,1009438
"Y",342,1074053
"Y",209,1090761
"Y",223,1040925
"Y",1080,1008550
"N",328,1058307
"Y",40,1080404
"Y",445,1067403
"Y",398,1011884
"Y",641,1041440
"Y",10,1085399
"Y",24,1098627
"Y",210,1079657
"N",192,1073480
"Y",465,1064235
"N",296,1073982
"Y",968,1012720
"Y",326,1077626
"Y",240,1028890
"Y",213,1036759
"Y",353,1099836
"N",316,1080473
"N",208,1030432
"Y",139,1038669
"N",484,1040232
"Y",423,1046575
"N",362,1058180
"Y",446,1044107
"Y",362,1063391
"Y",291,1075211
"Y",463,1006667
"N",352,1054634
"Y",199,1027496
"Y",732,1015855
"Y",146,1046733
"Y",445,1067306
"Y",161,1047801
"Y",364,1060028
"Y",1233,1098284
"N",482,1058574
"Y",615,1038140
"Y",303,1084858
"Y",709,1022473
"Y",328,1058384
"Y",368,1008454
"Y",443,1067681
"N",407,1063669
"Y",155,1045957
"N",553,1033723
"N",277,1067175
"N",307,1083581
"N",621,1033370
"Y",512,1055987
"N",257,1084719
"N",326,1077793
"Y",551,1039758
"N",371,1082632
"Y",8,1065888
"Y",632,1023572
"Y",278,1012252
"N",503,1049513
"Y",173,1045848
"Y",312,1010973
"Y",650,1022251
"Y",304,1072539
"N",735,1015654
"",886,1099954
"Y",191,1097249
"Y",717,1025460
"Y",18,1030677
"N",400,1074596
"Y",394,1063584
"Y",303,1062984
"N",408,1063406
"Y",365,1062992
"Y",277,1078340
"Y",468,1063648
"N",353,1001169
"Y",76,1005314
"Y",736,1015625
"N",146,1091348
"N",161,1008856
"N",251,1071157
"Y",330,1055739
"Y",426,1042272
"Y",570,1030795
"N",309,1071812
"Y",232,1095921
"Y",156,1077715
"Y",47,1065293
"Y",264,1082675
"Y",304,1083749
"Y",711,1017252
"Y",394,1049626
"Y",640,1035752
"N",93,1050786
"N",376,1079771
"N",139,1038312
"Y",150,1067585
"Y",127,1087185
"Y",1008,1006503
"Y",391,1076800
"Y",849,1010755
"Y",265,1082127
"N",298,1092402
"N",288,1093246
"",643,1098069
"Y",475,1019725
"Y",421,1099243
"Y",381,1060379
"Y",378,1060929
"Y",238,1092363
"N",443,1057034
"Y",506,1044362
"Y",189,1059693
"Y",290,1007810
"N",656,1039920
"Y",1233,1002788
"N",299,1085544
"Y",189,1037070
"Y",633,1042270
"Y",438,1045004
"Y",807,1015219
"N",535,1053022
"N",173,1045122
"N",455,1049836
"Y",572,1014561
"N",310,1000774
"Y",894,1001475
"Y",695,1027540
"N",261,1083937
"Y",135,1002385
"Y",367,1062596
"N",205,1081637
"N",173,1044047
"N",188,1095330
"Y",619,1033669
"Y",486,1051685
"N",298,1069316
"N",441,1044733
"Y",204,1081812
"Y",988,1007827
"Y",591,1006556
"Y",297,1085842
"Y",319,1090388
"Y",795,1017507
"Y",478,1058333
"Y",575,1048213
"Y",905,1015611
"N",235,1092671
"Y",403,1007676
"Y",669,1038785
"Y",318,1079767
"Y",79,1079806
"Y",851,1019880
"N",292,1086931
"N",336,1075296
"Y",403,1064322
"N",724,1016329
"Y",68,1038062
"N",220,1072969
"Y",489,1051286
"N",460,1054606
"N",468,1033176
"N",458,1042877
"Y",371,1025833
"Y",288,1087577
"Y",348,1016919
"Y",696,1005757
"Y",139,1031108
"N",204,1094556
"N",698,1027252
"Y",1256,1002593
"N",280,1077760
"Y",1353,1001161
"Y",208,1057360
"Y",587,1027602
"Y",571,1030639
"Y",348,1065967
"Y",80,1024758
"Y",517,1037240
"Y",748,1028614
"Y",742,1029999
"Y",369,1069540
"N",265,1094562
"N",634,1036256
"Y",304,1091922
"Y",277,1078341
"Y",278,1088376
"N",330,1076807
"Y",271,1024479
"Y",257,1094923
"Y",780,1016717
"Y",573,1029831
"Y",893,1013276
"N",183,1024884
"N",191,1085558
"Y",384,1078435
"Y",187,1002535
"N",298,1077733
"N",353,1086804
"N",378,1060830
"Y",523,1042635
"Y",281,1027803
"Y",1048,1098856
"Y",387,1059020
"N",46,1084960
"Y",712,1025914
"Y",666,1025842
"Y",320,1079217
"Y",520,1036908
"N",214,1066927
"Y",371,1052453
"Y",237,1089429
"Y",310,1091422
"Y",363,1070447
"Y",183,1040310
"",198,1083939
"Y",347,1066150
"N",598,1042317
"Y",99,1029117
"N",397,1057024
"Y",469,1048190
"Y",264,1082676
"N",127,1051731
"Y",396,1075681
"Y",764,1014095
"",86,1091962
"Y",439,1000442
"",134,1093200
"Y",277,1078298
"Y",262,1083356
"N",122,1063054
"N",208,1003157
"Y",439,1051743
"Y",201,1069298
"Y",374,1068789
"Y",388,1066883
"Y",84,1003394
"N",282,1077245
"N",83,1086520
"Y",884,1009520
"Y",323,1059518
"N",269,1038935
"Y",287,1065831
"Y",514,1037572
"Y",255,1067498
"N",315,1090856
"Y",531,1041762
"Y",157,1046785
"Y",691,1018826
"Y",357,1086069
"Y",601,1000010
"Y",314,1081144
"Y",373,1057062
"N",531,1035862
"N",719,1099492
"Y",195,1019684
"N",816,1022508
"Y",346,1073243
"Y",779,1022023
"N",456,1049303
"Y",526,1042290
"N",295,1066975
"Y",359,1064050
"Y",343,1066719
"N",1357,1001050
"Y",256,1033696
"Y",371,1052516
"Y",499,1058019
"Y",127,1040785
"N",410,1063201
"Y",625,1032747
"Y",394,1041201
"N",483,1046826
"N",679,1020103
"Y",383,1078502
"Y",142,1092089
"N",432,1045593
"Y",260,1084195
"Y",395,1013955
"Y",246,1086850
"Y",376,1068447
"Y",1291,1001597
"N",56,1085618
"N",344,1073752
"Y",744,1029311
"Y",566,1042907
"N",321,1059910
"N",393,1066142
"N",462,1032748
"Y",264,1094599
"Y",57,1099577
"Y",418,1016721
"Y",341,1011536
"N",359,1053760
"Y",285,1087830
"N",807,1018880
"N",211,1047376
"Y",310,1099624
"Y",318,1079816
"N",308,1083411
"N",296,1064066
"Y",333,1030591
"N",421,1053801
"Y",397,1049332
"Y",486,1046492
"Y",399,1029048
"Y",358,1053957
"Y",241,1087634
"N",605,1039048
"Y",338,1008260
"Y",806,1015245
"N",344,1066518
"N",694,1029854
"Y",274,1094107
"N",339,1074727
"N",374,1009462
"N",214,1096159
"Y",547,1034642
"Y",446,1056693
"Y",187,1043936
"Y",129,1056900
"N",63,1085462
"N",191,1097163
"Y",288,1029279
"Y",371,1082785
"Y",432,1058427
"Y",678,1030882
"Y",114,1035675
"Y",686,1028707
"Y",135,1051171
"Y",572,1042354
"N",307,1083629
"Y",390,1076605
"N",285,1024811
"Y",752,1018974
"Y",432,1045574
"N",936,1007136
"N",101,1048089
"Y",32,1012066
"N",124,1045787
"Y",15,1089925
"N",826,1010283
"Y",431,1049715
"Y",756,1018553
"Y",109,1024186
"",579,1047824
"Y",744,1029516
"Y",513,1048401
"Y",160,1062635
"N",1365,1001395
"N",283,1066381
"N",414,1019825
"N",317,1090627
"N",387,1077805
"Y",406,1028732
"Y",290,1093104
"Y",873,1014045
"Y",398,1074494
"N",166,1047536
"N",446,1050886
"Y",453,1008607
"Y",440,1057624
"Y",363,1070348
"N",27,1082554
"Y",133,1039986
"Y",335,1067798
"Y",246,1091655
"Y",27,1047130
"Y",290,1037558
"Y",684,1019707
"Y",91,1075557
"N",388,1010997
"Y",432,1069255
"Y",252,1006096
"N",7,1023043
"Y",914,1010666
"Y",128,1068004
"Y",306,1062427
"Y",247,1001884
"N",380,1079497
"N",254,1095064
"Y",279,1007238
"",62,1099654
"N",134,1036638
"",395,1075794
"",218,1009316
"Y",804,1012428
"Y",218,1077757
"N",181,1093268
"Y",308,1071958
"N",177,1054375
"Y",295,1051559
"Y",280,1077839
"Y",415,1009833
"N",101,1099618
"Y",740,1020230
"Y",519,1037031
"Y",570,1048886
"Y",279,1002103
"N",190,1095235
"Y",511,1056053
"N",334,1075985
"Y",134,1027135
"Y",794,1024106
"Y",118,1062595
"N",521,1028013
"Y",78,1000996
"Y",226,1052029
"Y",201,1038242
"N",675,1031766
"Y",272,1079714
"Y",356,1099248
"Y",555,1010143
"Y",521,1054607
"Y",234,1059607
"Y",172,1020468
"Y",269,1080560
"Y",249,1091445
"Y",460,1054645
"Y",480,1047172
"N",308,1083456
"N",52,1092898
"N",229,1034983
"Y",72,1074891
"N",231,1074645
"Y",510,1043965
"Y",653,1021593
"Y",205,1099302
"Y",642,1039618
"Y",243,1000796
"Y",368,1083784
"N",256,1058920
"N",338,1075025
"Y",643,1022769
"Y",326,1077785
"Y",265,1082109
"Y",276,1000780
"N",258,1066660
"Y",323,1069873
"Y",102,1083433
"N",261,1034137
"N",206,1091014
"Y",413,1015955
"N",141,1014845
"N",90,1044838
"N",362,1018545
"Y",627,1037005
"Y",359,1063975
"N",52,1091180
"N",510,1056248
"Y",901,1008861
"Y",377,1037080
"Y",630,1038121
"Y",336,1016134
"N",352,1065412
"N",273,1067775
"N",17,1095099
"Y",711,1008999
"Y",498,1038934
"N",23,1069043
"Y",234,1074118
"Y",67,1047234
"Y",355,1086422
"Y",438,1005369
"Y",64,1063866
"Y",24,1053687
"Y",633,1023507
"N",217,1096296
"Y",984,1009849
"Y",395,1024360
"Y",274,1038383
"Y",312,1081966
"Y",505,1038366
"N",194,1095012
"N",200,1096853
"Y",309,1062035
"N",271,1070658
"N",121,1076019
"Y",412,1054888
"Y",766,1021729
"Y",470,1063242
"N",129,1088194
"Y",1039,1007517
"N",426,1060507
"Y",481,1052239
"Y",522,1028674
"Y",740,1030408
"Y",193,1002625
"Y",392,1057934
"Y",583,1036757
"Y",147,1095090
"N",362,1071186
"Y",212,1092215
"N",504,1044574
"N",674,1025142
"Y",251,1010243
"Y",864,1000046
"Y",376,1068474
"Y",525,1054196
"Y",802,1015423
"Y",623,1001221
"N",203,1094580
"Y",353,1086882
"N",199,1054592
"N",308,1083274
"N",693,1023639
"Y",208,1077433
"Y",772,1025989
"Y",224,1089162
"N",219,1089637
"Y",958,1010725
"Y",235,1028429
"N",272,1067859
"N",138,1068550
"N",124,1070300
"Y",284,1059795
"Y",981,1012103
"N",1008,1006488
"Y",809,1022992
"Y",715,1025606
"Y",757,1014544
"Y",592,1046599
"Y",30,1032372
"Y",234,1092758
"N",214,1078686
"Y",218,1031703
"Y",66,1039457
"Y",636,1021488
"Y",827,1016619
"Y",264,1082411
"N",487,1060527
"Y",1114,1098329
"Y",26,1036562
"N",567,1031568
"Y",329,1068651
"N",272,1072212
"Y",25,1083831
"N",334,1075836
"Y",371,1082381
"Y",705,1017665
"N",587,1040794
"Y",638,1029119
"N",803,1011691
"Y",91,1097268
"N",82,1067534
"N",69,1085277
"Y",295,1064550
"Y",401,1056578
"Y",585,1036602
"Y",914,1010405
"Y",358,1085787
"N",258,1070018
"Y",808,1018026
"Y",257,1048204
"Y",187,1018922
"",396,1075559
"Y",320,1079303
"Y",224,1089163
"N",250,1086095
"Y",785,1020265
"Y",57,1014081
"Y",312,1071297
"N",673,1032187
"Y",498,1058078
"N",221,1076910
"Y",377,1077654
"Y",422,1046737
"Y",106,1024999
"Y",102,1016815
"Y",264,1089824
"Y",414,1062294
"Y",932,1014157
"Y",355,1054228
"Y",519,1043119
"Y",506,1038253
"Y",466,1048447
"Y",383,1030873
"Y",411,1072565
"Y",342,1056068
"N",291,1093014
"Y",863,1012573
"Y",51,1069826
"N",373,1081909
"Y",876,1009856
"",396,1099395
"N",216,1089944
"Y",30,1003454
"N",71,1059776
"N",247,1071659
"N",683,1037554
"Y",28,1027200
"Y",271,1080141
"N",5,1016697
"",418,1001249
"N",172,1068850
"Y",221,1076811
"Y",464,1064350
"Y",376,1014239
"Y",765,1014022
"Y",34,1069968
"Y",594,1015764
"Y",293,1009796
"N",381,1060282
"Y",1004,1006701
"Y",440,1057650
"N",107,1045319
"Y",143,1068021
"Y",86,1016431
"Y",568,1031385
"Y",260,1069637
"Y",367,1084122
"N",339,1056499
"Y",41,1005459
"Y",28,1041337
"N",322,1098912
"N",242,1072596
"Y",331,1057757
"N",437,1057786
"Y",219,1002366
"N",506,1044350
"N",792,1012835
"N",583,1047473
"Y",264,1089797
"N",193,1085105
"Y",509,1056305
"Y",40,1024237
"N",187,1097386
"Y",556,1033744
"Y",121,1072318
"Y",501,1057573
"N",369,1083278
"N",735,1031829
"Y",82,1025714
"Y",445,1067326
"N",627,1042886
"N",448,1043969
"N",394,1066061
"N",226,1083654
"N",38,1077867
"Y",263,1094674
"N",1,1078111
"N",331,1068350
"Y",345,1097873
"N",364,1070299
"Y",352,1087153
"Y",672,1032662
"Y",330,1076863
"N",62,1049099
"Y",677,1035048
"Y",304,1062875
"N",204,1065708
"Y",191,1085555
"Y",322,1018739
"N",478,1047309
"Y",654,1027014
"Y",346,1065537
"Y",609,1034579
"Y",316,1009965
"N",70,1071289
"Y",634,1030162
"Y",334,1075931
"Y",191,1092452
"N",13,1004789
"N",211,1035868
"Y",796,1019132
"Y",188,1092716
"Y",722,1021537
"Y",379,1060779
"Y",317,1080165
"N",375,1061328
"Y",267,1081315
"Y",191,1097245
"N",194,1021610
"Y",312,1082021
"Y",722,1008751
"Y",21,1026240
"N",350,1055017
"N",337,1033482
"Y",325,1078025
"Y",207,1090985
"N",379,1060782
"Y",222,1076679
"Y",744,1014915
"Y",46,1090540
"N",1023,1005896
"Y",241,1072664
"Y",474,1037584
"N",145,1041993
"N",292,1087027
"N",24,1083168
"Y",674,1032102
"Y",470,1053468
"",362,1085174
"Y",299,1063682
"Y",119,1033480
"Y",583,1027956
"Y",339,1072220
"N",187,1013229
"",297,1092593
"N",442,1028891
"Y",203,1082089
"Y",413,1047559
"Y",865,1098533
"N",573,1037783
"N",308,1083217
"N",182,1093229
"Y",1135,1003520
"Y",268,1081061
"N",605,1045199
"N",603,1004340
"N",98,1058751
"",208,1074024
"Y",440,1044792
"Y",684,1019716
"N",242,1072531
"N",324,1059046
"Y",430,1069495
"N",353,1086927
"N",334,1088858
"Y",8,1051881
"N",394,1076096
"Y",376,1068518
"N",334,1002278
"Y",205,1010861
"Y",695,1036276
"Y",616,1033892
"Y",662,1026253
"Y",159,1062421
"Y",423,1009259
"Y",316,1070625
"N",447,1045517
"Y",56,1026251
"Y",432,1059264
"N",523,1054433
"Y",435,1045321
"N",48,1072568
"Y",390,1058311
"Y",308,1083184
"Y",106,1034616
"Y",184,1005215
"Y",1091,1003115
"N",181,1095637
"Y",356,1054209
"Y",792,1019666
"N",414,1098483
"Y",218,1093842
"N",184,1093075
"Y",1234,1003753
"Y",571,1037978
"Y",227,1075675
"Y",603,1025951
"Y",327,1058531
"Y",847,1020181
"Y",198,1084156
"Y",561,1043458
"N",254,1085427
"N",321,1078941
"Y",288,1087523
"Y",241,1072698
"Y",279,1099299
"Y",76,1089600
"Y",385,1038223
"N",347,1055581
"Y",815,1022510
"N",819,1022285
"Y",339,1074194
"N",383,1067583
"Y",272,1079665
"N",145,1051249
"N",27,1048756
"Y",303,1092045
"Y",434,1045411
"Y",41,1005697
"Y",54,1039902
"N",388,1058871
"N",244,1007288
"Y",660,1021533
"Y",494,1059055
"Y",317,1079885
"N",830,1013900
"Y",764,1017915
"Y",201,1091591
"Y",650,1009370
"Y",383,1050951
"Y",636,1098051
"Y",660,1026396
"N",226,1075940
"Y",793,1012955
"Y",132,1064671
"Y",281,1088102
"Y",182,1061590
"Y",107,1055183
"Y",458,1000613
"Y",314,1047791
"Y",679,1030593
"Y",411,1068511
"Y",492,1045817
"N",202,1094624
"Y",310,1008475
"N",246,1091724
"N",175,1012225
"Y",263,1083120
"Y",926,1011890
"Y",39,1063681
"Y",322,1001816
"Y",234,1014924
"Y",869,1012317
"N",217,1089892
"N",16,1057211
"Y",1069,1005891
"Y",629,1042694
"N",493,1045679
"Y",709,1026222
"Y",327,1088700
"Y",284,1057633
"Y",163,1017435
"",305,1062633
"Y",79,1017978
"N",314,1090936
"N",278,1088359
"Y",367,1041573
"Y",283,1077009
"Y",213,1096433
"N",193,1092289
"N",66,1042246
"N",519,1043052
"Y",365,1060354
"N",493,1007709
"Y",636,1023285
"Y",379,1068068
"N",308,1083514
"Y",523,1047458
"Y",242,1019071
"N",331,1057799
"N",567,1031649
"Y",166,1077710
"Y",839,1015920
"N",315,1090864
"N",627,1042937
"N",822,1010351
"Y",393,1066119
"Y",664,1020398
"N",397,1065476
"Y",192,1095072
"Y",526,1047088
"Y",123,1098992
"Y",197,1084607
"Y",328,1068771
"Y",448,1043898
"Y",906,1010950
"Y",254,1048579
"Y",37,1069459
"N",691,1002497
"Y",220,1061432
"Y",699,1027156
"Y",26,1073167
"Y",77,1074104
"Y",271,1068009
"N",883,1016986
"Y",696,1023468
"N",501,1049758
"Y",275,1078750
"Y",403,1064343
"Y",245,1087231
"Y",400,1048973
"Y",618,1037928
"Y",692,1023707
"Y",334,1016176
"N",1270,1098142
"Y",574,1042079
"Y",173,1079213
"N",208,1059481
"N",388,1077536
"Y",634,1042268
"Y",193,1092294
"N",648,1020281
"Y",312,1081793
"Y",564,1031060
"Y",55,1054093
"Y",622,1033301
"",295,1086331
"Y",360,1070938
"Y",48,1016287
"N",183,1097560
"N",276,1072651
"Y",217,1089889
"Y",273,1079562
"",181,1018106
"N",213,1094087
"Y",327,1068993
"Y",162,1081018
"Y",239,1087818
"Y",240,1087737
"Y",672,1032684
"Y",442,1067746
"Y",326,1058759
"Y",256,1084916
"Y",547,1040121
"Y",374,1081460
"Y",376,1068480
"Y",654,1026980
"Y",591,1036059
"N",146,1096830
"N",473,1041363
"Y",862,1010329
"Y",354,1054373
"Y",255,1024825
"Y",71,1041945
"Y",361,1070843
"Y",271,1089095
"N",270,1068211
"Y",417,1061964
"N",640,1041551
"Y",498,1058260
"Y",597,1026505
"Y",420,1046884
"N",237,1009489
"Y",667,1025734
"Y",173,1017413
"N",280,1077829
"Y",388,1031724
"N",190,1085688
"Y",145,1042170
"Y",370,1083154
"N",454,1043327
"N",309,1071656
"Y",317,1060722
"Y",29,1085145
"N",425,1046331
"Y",201,1083050
"N",34,1021325
"N",243,1079925
"N",682,1024462
"Y",433,1052484
"Y",333,1076044
"Y",564,1032654
"Y",455,1007095
"Y",314,1080962
"Y",435,1058671
"Y",292,1086731
"Y",387,1004726
"Y",780,1013425
"Y",154,1002533
"Y",31,1035975
"Y",362,1041925
"Y",732,1020759
"N",49,1071316
"Y",322,1090113
"Y",377,1060956
"N",350,1004716
"N",264,1059906
"N",236,1095799
"N",457,1049492
"Y",397,1049339
"Y",90,1052554
"Y",351,1087299
"Y",579,1041501
"Y",61,1050878
"Y",244,1057711
"Y",289,1075465
"Y",320,1077696
"Y",674,1007790
"Y",402,1064640
"N",1,1030562
"N",364,1053207
"N",399,1074950
"N",951,1006249
"Y",244,1087357
"Y",555,1044064
"Y",258,1033592
"Y",274,1007821
"Y",571,1030403
"N",716,1034652
"Y",433,1058897
"Y",323,1078330
"N",451,1050313
"Y",750,1019183
"N",334,1075980
"Y",739,1030702
"Y",603,1044786
"Y",519,1054984
"Y",44,1076051
"Y",563,1049633
"Y",670,1023257
"N",335,1088762
"Y",385,1028874
"Y",232,1001806
"Y",197,1029386
"N",84,1035282
"N",6,1024204
"Y",195,1001307
"Y",292,1074999
"Y",974,1008488
"N",399,1071188
"Y",500,1038743
"N",77,1006559
"Y",750,1019245
"N",257,1084800
"N",840,1015822
"N",580,1041437
"Y",379,1079832
"Y",335,1057134
"N",226,1004626
"Y",228,1049736
"Y",755,1018623
"Y",621,1043550
"Y",110,1066541
"Y",321,1059919
"N",363,1044701
"Y",101,1099794
"N",840,1099478
"Y",163,1079486
"N",265,1094545
"Y",336,1088662
"Y",681,1029830
"N",273,1079579
